ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
20140101003310,-91.46772,30.08683,KLCH,L7,91,91,0,20,.5
20140101021514,-121.77309,46.86726,KLGX,C0,97,98,60,60,.5
20140101050908,-93.86004,28.13163,KLCH,T6,124,196,-999,-999,-999
20140101052318,-91.80798,28.73917,KLCH,U6,111,138,0,10,.5
20140101052800,-91.58671,28.91201,KLCH,A7,112,130,0,10,.5
20140101052800,-91.71385,28.79315,KLCH,U6,112,135,0,30,.5
20140101053244,-91.49477,28.93073,KLCH,A7,115,128,0,10,.5
20140101053244,-91.64792,28.82797,KLCH,U6,113,133,0,20,.5
20140101053728,-92.51240,29.05245,KLCH,C7,74,150,0,10,.5
20140101053728,-91.58292,28.86519,KLCH,U6,114,131,0,20,.5
20140101053728,-91.43276,28.97365,KLCH,A7,116,126,0,30,.5
20140101054211,-91.33431,29.03770,KLCH,A7,118,123,0,40,.5
20140101054655,-91.28081,29.04823,KLCH,A7,120,122,0,40,.5
20140101055139,-91.36376,28.97147,KLCH,O7,119,125,0,20,.5
20140101055139,-91.16896,29.11267,KLCH,A7,123,119,0,40,.5
20140101055622,-93.18398,28.50454,KLCH,N6,97,179,0,30,.5
20140101055622,-91.28701,29.00970,KLCH,O7,121,123,0,30,.5
20140101060105,-91.02561,29.16916,KLCH,N7,128,116,-999,-999,-999
20140101060105,-93.12096,28.52317,KLCH,N6,96,177,0,30,.5
20140101060105,-91.21104,29.05119,KLCH,O7,123,121,0,40,.5
20140101060549,-91.15710,29.06455,KLCH,O7,125,120,-999,-999,-999
20140101060549,-93.05935,28.54367,KLCH,N6,95,175,0,20,.5
20140101064335,-92.19867,28.93352,KLCH,I8,89,143,0,10,.5
20140101065303,-92.04916,29.02011,KLCH,I8,90,137,0,10,.5
20140101070712,-91.85504,29.15064,KLCH,I8,92,129,0,20,.5
20140101071155,-91.71842,29.19650,KLCH,I8,96,125,0,10,.5
20140101071638,-91.95736,29.12401,KLCH,V8,89,132,0,10,.5
20140101072122,-91.85059,29.18188,KLCH,V8,91,128,0,10,.5
20140101073049,-94.08630,28.30713,KLCH,B9,118,203,0,30,.5
20140101073532,-94.03639,28.32528,KLCH,B9,116,202,0,20,.5
20140101074015,-94.03639,28.32528,KLCH,B9,116,202,0,30,.5
20140101075425,-94.21935,28.37925,KLCH,I9,117,207,0,20,.5
20140101084029,-82.30876,29.27561,KTLH,T4,125,122,-999,-999,-999