"Symbol","Synonym Symbol","Scientific Name with Author","Common Name","Family"
"ABELI","","Abelia R. Br.","abelia","Caprifoliaceae"
"ABGR4","","Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora]","glossy abelia","Caprifoliaceae"
"ABELM","","Abelmoschus Medik.","okra","Malvaceae"
"ABES","","Abelmoschus esculentus (L.) Moench","okra","Malvaceae"
"ABES","HIES","Hibiscus esculentus L.","","Malvaceae"
"ABMA9","","Abelmoschus manihot (L.) Medik. [excluded]","","Malvaceae"
"ABMA9","HIMA9","Hibiscus manihot L.","","Malvaceae"
"ABMO","","Abelmoschus moschatus Medik.","musk okra","Malvaceae"
"ABMO","HIAB","Hibiscus abelmoschus L.","","Malvaceae"
"ABIES","","Abies Mill.","fir","Pinaceae"
"ABAL3","","Abies alba Mill.","silver fir","Pinaceae"
"ABAM","","Abies amabilis (Douglas ex Louden) Douglas ex Forbes","Pacific silver fir","Pinaceae"
"ABBAB","","Abies balsamea (L.) Mill. var. balsamea","balsam fir","Pinaceae"
"ABBAB","PIBA3","Pinus balsamea L.","","Pinaceae"
"ABBAP","","Abies balsamea (L.) Mill. var. phanerolepis Fernald","","Pinaceae"
"ABBAP","ABPH","Abies ×phanerolepis (Fernald) Liu","","Pinaceae"
"ABBA","","Abies balsamea (L.) Mill.","balsam fir","Pinaceae"
"ABBR","","Abies bracteata (D. Don) D. Don ex Poit.","bristlecone fir","Pinaceae"
"ABBR","ABVE","Abies venusta (Douglas) K. Koch","","Pinaceae"
"ABCOC","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor","white fir","Pinaceae"
"ABCOL","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon","white fir","Pinaceae"
"ABCOL","ABLO","Abies lowiana (Gord. & Glend.) A. Murray","","Pinaceae"
"ABCO","","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","white fir","Pinaceae"
"ABFR","","Abies fraseri (Pursh) Poir.","Fraser fir","Pinaceae"
"ABFR","PIFR","Pinus fraseri Pursh","","Pinaceae"
"ABGR","","Abies grandis (Douglas ex D. Don) Lindl.","grand fir","Pinaceae"
"ABGR","ABGRG","Abies grandis (Douglas ex D. Don) Lindl. var. grandis","","Pinaceae"
"ABGR","ABGRI","Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba","","Pinaceae"
"ABGU","","Abies guatemalensis Rehder","Guatemalan fir","Pinaceae"
"ABHO","","Abies homolepis Siebold & Zucc.","Nikko fir","Pinaceae"
"ABLAA","","Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon","corkbark fir","Pinaceae"
"ABLAA","ABAR2","Abies arizonica Merriam","","Pinaceae"
"ABLAL","","Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","subalpine fir","Pinaceae"
"ABLAL","ABBAL","Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin","","Pinaceae"
"ABLAL","ABBAF","Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin","","Pinaceae"
"ABLAL","ABBI3","Abies bifolia A. Murray","","Pinaceae"
"ABLAL","ABSU","Abies subalpina Engelmann","","Pinaceae"
"ABLA","","Abies lasiocarpa (Hook.) Nutt.","subalpine fir","Pinaceae"
"ABMA","","Abies magnifica A. Murray","California red fir","Pinaceae"
"ABMA","ABMAM","Abies magnifica A. Murray var. magnifica","","Pinaceae"
"ABPR","","Abies procera Rehder","noble fir","Pinaceae"
"ABPR","ABNO","Abies nobilis (Douglas ex D. Don) Lindl.","","Pinaceae"
"ABSH","","Abies ×shastensis (Lemmon) Lemmon [magnifica × procera]","Shasta red fir","Pinaceae"
"ABSH","ABMAS","Abies magnifica A. Murray var. shastensis Lemmon","","Pinaceae"
"ABVE2","","Abies veitchii Lindl.","Christmastree","Pinaceae"
"ABIET","","Abietinella Müll. Hal.","abietenella moss","Thuidiaceae"
"ABAB70","","Abietinella abietina (Hedw.) Fleisch.","abietinella moss","Thuidiaceae"
"ABAB70","HYAB","Hypnum abietinum Hedw.","","Thuidiaceae"
"ABAB70","THAB70","Thuidium abietinum (Hedw.) Schimp.","","Thuidiaceae"
"ABILD","","Abildgaardia Vahl","sedge","Cyperaceae"